iperm,date_announce
10343,27 Jun 1996
10344,28 Oct 1987
10346,8 Dec 1998
10346,28 Apr 1999
10347,26 Apr 1989
10351,2 Mar 1989
10351,18 Feb 1993
10351,4 Mar 1993
10351,2 Dec 1993
10351,11 Jan 1994
10351,1 Jun 1994
10351,26 Jul 1995
10352,6 Jan 1989
10352,4 Sep 1990
10352,18 Mar 1991
10353,28 Aug 1990
10353,7 Jan 1993
10353,24 May 1994
10353,29 Aug 1994
10353,14 Jun 1995
10353,13 Jul 1995
10353,26 Jul 1995
10353,7 Nov 1995
10353,6 Feb 1996
10353,3 Jun 1996
10353,9 Aug 1996
10353,19 Nov 1996
10353,31 Mar 1997
10353,20 Jan 1998
10353,21 Jan 1998
10353,19 Feb 1998
10353,8 Apr 1998
10353,19 Oct 1998
10353,1 Nov 1999
10353,14 Mar 2000
10353,2 Jul 2001
10353,13 Jul 2004
10355,21 Oct 1992
10355,27 Jan 1999
10360,22 Jun 1988
10360,12 Feb 1990
10360,10 Oct 1990
10360,16 Oct 1990
10360,28 Feb 1991
10360,6 May 1998
10361,16 Nov 1987
10361,16 Feb 1995
10362,11 Aug 1997
10362,18 Mar 1998
10362,2 Jun 1998
10362,1 Jul 1998
10362,29 Jul 1998
10362,10 Sep 1999
10363,22 Aug 1990
10363,27 Jun 1991
10363,30 Jul 1992
10363,24 Nov 1993
10363,8 May 1996
10363,10 Nov 1997
10363,17 Nov 2000
10364,22 Sep 1980
10364,11 Sep 1986
10364,9 Dec 1986
10364,11 Sep 1987
10364,29 Jan 1988
10364,25 Jul 1988
10364,21 Oct 1988
10364,21 Mar 1989
10364,26 Apr 1989
10364,26 Apr 1989
10364,25 Apr 1990
10364,4 Apr 1995
10364,26 Jun 1997
10366,8 Dec 1992
10370,3 May 1989
10371,22 Aug 1991
10371,1 Jul 1996
10371,15 Dec 1999
10371,8 Jan 2003
10371,1 Nov 2005
10373,18 Nov 1983
10374,5 Sep 1989
10375,16 Feb 1987
10375,17 Nov 1992
10375,28 Sep 1993
10375,25 Jan 1994
10375,9 Sep 1994
10375,19 Dec 1995
10375,20 Jan 1997
10375,14 Feb 1997
10375,17 Mar 1997
10375,10 Nov 1997
10375,20 Jan 1998
10375,23 Jun 1998
10375,15 Dec 1998
10375,8 Mar 2000
10375,24 Oct 2001
10375,22 Jul 2003
10375,26 May 2005
10376,25 Apr 1985
10376,3 Oct 1988
10376,1 Oct 1991
10376,3 Feb 1992
10376,30 Mar 1992
10376,31 Mar 1992
10376,26 Jan 1993
10382,24 Sep 1986
10382,30 Dec 1988
10382,26 Mar 1989
